,user,item,date,rating
163,124614,91061,2004-12-11,5
164,131674,91061,2005-12-02,5
165,269571,91061,2005-12-07,5
166,130663,91061,2006-01-14,5
167,172369,91061,2006-01-20,5
168,218676,91061,2006-08-15,5
169,199839,91061,2007-12-31,5
170,248647,91061,2008-06-09,5
171,92006,91061,2009-02-17,5
172,578353,91061,2009-05-29,4
173,2511076,91061,2012-11-19,0
174,2000379064,91061,2015-08-02,5
175,2002011974,91061,2018-02-24,0
176,107135,503641,2013-09-04,5
177,471448,148635,2007-06-03,4
178,107140,92704,2005-03-25,5
179,17803,457394,2011-06-19,0
180,498271,335442,2009-03-02,5
181,623399,335442,2009-03-25,5
182,88099,335442,2009-09-06,5
183,383346,335442,2010-08-15,5
184,222564,255860,2010-04-05,5
185,169712,255860,2013-04-21,5
186,114027,270487,2009-04-30,4
187,104588,127586,2005-07-05,5
188,58104,55163,2003-04-04,5
189,59144,55163,2006-06-09,5
190,55221,55163,2006-06-22,5
191,27443,55163,2007-03-12,5
192,1072593,297551,2015-10-26,5
193,21752,225953,2007-05-24,5
194,344231,225953,2007-06-24,5
195,288218,225953,2007-06-26,5
196,182010,225953,2007-06-28,5
197,177443,225953,2007-08-02,5
198,162826,225953,2007-11-12,5
199,827438,225953,2008-05-03,0
200,58104,225953,2009-05-12,5
201,20480,225953,2009-05-12,5
202,803511,225953,2009-05-17,5
203,930100,225953,2009-05-18,5
204,383346,251087,2007-09-14,5
205,351811,251087,2007-10-02,5
206,382071,251087,2007-10-14,5
207,209747,251087,2008-11-29,5
208,58104,136231,2005-12-28,4
209,383346,267726,2012-03-27,4
210,80353,425482,2010-05-26,5
211,63526,34923,2003-03-25,4
212,211184,185278,2007-01-13,5
213,169969,185304,2006-10-23,5
214,1271250,185304,2009-10-02,5
215,1246384,185304,2010-01-10,5
216,839673,185304,2012-05-22,5
217,128473,282963,2008-04-10,4
218,422893,291650,2008-11-25,4
219,31499,22911,2002-04-07,5
220,35848,22911,2002-05-04,5
221,30893,22911,2002-05-23,5
222,55690,22911,2003-11-29,5
223,76503,22911,2004-05-11,5
224,22642,22911,2005-03-02,5
225,49879,22911,2007-06-23,5
226,43292,22911,2008-05-22,5
227,196820,22911,2009-04-19,5
228,253965,22911,2009-12-04,5
229,579826,22911,2010-05-31,5
230,16501,103575,2004-11-18,5
231,395981,103575,2009-06-18,5
232,498271,301853,2008-05-13,5
233,166642,301853,2008-07-14,5
234,96177,301853,2009-01-30,5
235,28346,154194,2007-01-22,0
236,128473,327526,2008-12-01,5
237,223979,327526,2008-12-04,5
238,2001887945,293079,2017-12-24,5
239,330545,327132,2009-01-20,5
240,599450,327132,2009-02-16,5
241,227978,327132,2010-05-18,5
242,1072892,376026,2009-06-09,5
243,183980,59231,2005-01-11,4
244,9869,15514,2001-12-13,5
245,385423,15514,2007-12-02,5
246,43083,15514,2009-12-31,5
247,156526,228565,2007-05-18,4
248,498271,431639,2011-10-24,5
249,566599,78833,2011-01-30,1
250,101896,34268,2003-10-05,5
251,21853,34268,2010-06-14,5
252,239808,171058,2006-06-06,5
253,96177,329634,2008-11-03,4
254,67026,444837,2012-11-23,5
255,1802028886,444837,2014-01-07,5
256,258285,246665,2007-09-30,4
257,37779,25693,2002-06-29,5
258,57613,25693,2002-11-04,5
259,167849,25693,2006-03-13,5
260,53868,25693,2006-08-15,5
261,268058,25693,2006-11-14,5
262,383346,25693,2008-05-31,4
263,381538,25693,2011-02-04,5
264,222564,25693,2011-11-29,5
265,383346,323124,2009-04-25,5
266,89831,163173,2006-04-10,5
267,217657,163173,2006-07-08,5
268,417401,163173,2006-12-27,5
269,43083,163173,2007-01-12,4
270,452317,163173,2007-03-18,4
271,204024,163173,2007-12-31,5
272,489552,163173,2009-07-08,5
273,176615,163173,2010-07-03,4
274,461834,163173,2010-10-16,5
275,222564,304867,2014-02-24,5
276,83093,260302,2007-11-12,5
277,226863,260302,2012-07-22,5
278,383346,314719,2008-08-03,5
279,1622788,314719,2010-05-27,5
280,450004,456498,2011-05-26,5
281,328048,456498,2011-05-30,5
282,220348,456498,2011-12-09,5
283,28346,164333,2006-05-15,5
284,58104,164333,2006-05-27,4
285,305531,164333,2006-11-26,5
286,32143,164333,2007-01-28,5
287,8688,164333,2007-05-27,5
288,20754,164333,2007-09-30,5
289,222564,164333,2015-03-29,5
290,169969,210983,2007-03-15,5
291,67656,210983,2007-03-15,4
292,65197,210983,2009-01-24,5
293,382071,246834,2007-12-02,5
294,131674,246834,2008-01-23,4
295,269480,246834,2008-05-30,5
296,526666,246834,2010-05-22,5
297,80353,246834,2010-05-22,5
298,226863,246834,2010-05-23,5
299,135470,246834,2010-05-29,4
300,846154,246834,2010-06-01,4
301,2002151330,246834,2018-05-13,5
302,133174,90997,2004-08-02,5
303,145097,90997,2004-08-03,5
304,89831,90997,2005-05-08,5
305,80353,246842,2008-05-27,4
306,269480,246842,2008-05-30,4
307,102058,58014,2007-06-17,4
308,1215820,58014,2009-06-23,3
309,227978,418327,2012-07-04,5
310,29655,354082,2009-04-03,5
311,422893,150561,2008-03-12,4
312,52282,179684,2006-09-09,4
313,383346,179684,2008-12-01,5
314,1366254,179684,2009-11-27,5
315,305531,253725,2007-09-22,5
316,383346,253725,2007-10-09,5
317,324390,253725,2007-10-14,5
318,319943,253725,2007-10-20,4
319,461834,253725,2009-07-04,5
320,222564,213049,2007-04-11,5
321,173522,213049,2007-06-05,5
322,67103,213049,2007-08-07,5
323,230860,213049,2008-04-09,5
324,113941,213049,2008-04-29,5
325,169430,213049,2008-07-17,5
326,61660,314055,2008-07-21,5
327,1179225,314055,2012-05-27,5
328,2001485021,314055,2017-05-16,5
329,122108,68882,2004-01-30,4
330,29063,56272,2004-04-25,5
331,28346,56272,2004-05-18,5
332,125388,56272,2004-06-03,5
333,193060,56272,2008-07-24,5
334,114681,33907,2005-07-31,0
335,35140,33907,2006-07-09,5
336,49503,36635,2002-08-25,4
337,28328,36635,2002-09-20,5
338,37779,36635,2003-04-22,5
339,68727,36635,2003-05-03,5
340,143308,36635,2006-05-28,5
341,363759,36635,2008-02-16,5
342,218362,36635,2009-07-26,5
343,383346,313466,2011-03-06,5
344,236760,258580,2007-10-23,5
345,359220,258580,2007-10-24,0
346,486725,258580,2008-05-07,5
347,537188,258580,2008-06-29,5
348,440324,258580,2009-10-15,5
349,332564,258580,2011-06-30,5
350,55013,258580,2013-05-11,5
351,58104,228816,2007-06-24,4
352,344231,228816,2007-07-10,5
353,1072593,482806,2012-08-03,5
354,143318,482806,2012-08-05,5
355,17803,482806,2012-08-05,5
356,171790,482806,2012-08-06,5
357,227978,482806,2012-08-07,5
358,135470,482806,2012-08-12,5
359,67728,482806,2012-08-12,5
360,246482,482806,2012-08-14,5
361,128473,482806,2012-08-27,5
362,1802639115,482806,2014-05-28,5
363,8688,235738,2007-06-26,5
364,89831,235738,2007-07-12,5
365,166642,235738,2007-07-13,5
366,461834,235738,2007-07-24,5
367,1072593,235738,2011-06-29,5
368,58104,134186,2005-09-26,5
369,209747,134186,2005-09-28,5
370,189643,134186,2005-09-30,5
371,65197,134186,2005-10-01,5
372,182010,134186,2005-10-02,5
373,149363,134186,2005-10-04,5
374,64642,134186,2006-05-20,5
375,6258,134186,2006-07-14,4
376,481092,134186,2008-03-31,5
377,206747,134186,2008-05-18,5
378,168895,134186,2009-04-29,5
379,227978,504571,2013-08-03,5
380,852554,504571,2013-08-04,5
381,135470,504571,2013-08-11,5
382,88099,137568,2007-04-27,5
383,68460,61625,2003-05-26,5
384,21752,129992,2006-08-21,5
385,455044,256689,2007-12-21,0
386,8688,255277,2007-10-03,5
387,305531,255277,2007-10-11,5
388,131674,255277,2008-02-01,5
389,383346,255277,2008-02-07,5
390,86512,255277,2008-08-05,4
391,43083,255277,2010-01-28,5
392,17803,255277,2010-12-15,5
393,679953,255277,2011-10-29,5
394,552613,284312,2008-05-31,4
395,383346,406460,2010-10-17,4
396,1116773,406460,2011-01-27,5
397,383346,278504,2009-03-25,5
398,220348,278504,2008-03-17,4
399,463202,35031,2007-04-27,4
400,60989,35031,2008-07-11,0
401,56003,118563,2010-01-31,5
402,227978,41914,2013-01-18,4
403,49304,76984,2003-12-28,5
404,224017,76984,2005-11-14,5
405,188119,76984,2005-11-24,5
406,125388,76984,2008-03-16,5
407,283251,76984,2008-11-29,0
408,291188,76984,2014-01-01,5
409,58104,130980,2005-08-15,4
410,422893,111316,2008-10-14,4
411,498271,369982,2009-06-20,5
412,88099,369982,2009-07-11,5
413,169430,369982,2013-05-16,5
414,296027,219209,2007-08-07,5
415,382071,219209,2007-08-25,5
416,242766,219209,2007-11-25,5
417,226863,219209,2011-03-26,5
418,1073513,219209,2014-01-01,4
419,2000397769,219209,2015-08-11,5
420,1800070499,293474,2013-09-22,5
421,520150,293474,2008-05-29,5
422,42309,59043,2003-04-16,5
423,57939,59043,2003-04-18,5
424,160345,59043,2004-10-08,4
425,314579,59043,2006-06-26,4
426,226918,59043,2007-02-07,5
427,149363,59043,2007-02-27,5
428,305531,59043,2007-03-02,5
429,169430,59043,2007-04-10,5
430,129992,59043,2007-05-03,5
431,125388,59043,2007-07-05,5
432,130663,59043,2007-08-04,5
433,344938,59043,2007-08-06,4
434,383853,59043,2007-12-20,5
435,337963,59043,2008-06-14,0
436,209747,59043,2009-01-03,5
437,464080,59043,2009-05-26,5
438,860079,59043,2009-06-05,5
439,461834,59043,2009-06-27,5
440,222564,59043,2009-08-30,5
441,43083,59043,2009-12-29,4
442,141293,59043,2010-02-11,5
443,706608,59043,2010-04-19,4
444,2001775731,59043,2017-11-02,5
445,2001477838,59043,2018-06-24,5
446,103876,58373,2003-10-19,5
447,88099,58373,2004-12-30,5
448,121185,58373,2005-12-01,5
449,599450,58373,2011-08-21,5
450,469903,288225,2008-03-30,5
451,801828,288225,2008-06-01,5
452,209747,288225,2008-08-15,5
453,440158,192440,2008-11-15,3
454,864063,312347,2008-10-21,5
455,179133,312347,2009-07-18,5
456,242729,263453,2007-11-25,5
457,383346,263453,2009-04-25,5
458,212801,155278,2008-06-17,5
459,422893,264932,2008-07-05,4
460,17803,264932,2008-07-11,5
461,465056,264932,2007-11-15,5
462,383346,264932,2008-01-05,4
463,369715,264932,2008-01-09,4
464,552613,264932,2008-06-08,4
465,86512,264932,2008-06-12,4
466,306797,264932,2008-06-17,5
467,440324,264932,2009-10-19,5
468,691985,178277,2009-07-16,5
469,1677099,178277,2011-03-26,5
470,866963,178277,2011-03-28,5
471,227978,346428,2009-09-16,4
472,1925885,503965,2013-07-18,5
473,130663,291785,2008-06-20,5
474,207616,308854,2008-07-01,5
475,130663,308854,2009-02-16,5
476,226863,308854,2010-08-23,5
477,269521,173116,2006-06-23,5
478,192581,173116,2006-06-27,5
479,57222,173116,2006-06-29,0
480,130663,173116,2007-06-10,5
481,1338289,173116,2009-07-28,5
482,58104,349952,2009-02-17,4
483,1366254,349952,2009-10-20,5
484,1938759,349952,2011-12-31,5
485,143318,258874,2007-12-19,0
486,653438,469158,2012-10-10,5
487,128473,517500,2014-08-07,5
488,314579,517500,2014-08-08,4
489,510313,292378,2008-03-31,5
490,383346,386195,2009-08-29,4
491,103809,115298,2005-04-23,5
492,27678,115298,2005-05-07,5
493,738763,115298,2008-02-04,5
494,383346,115298,2012-03-13,5
495,383346,250230,2013-09-23,5
496,2146993,471542,2013-01-25,5
497,1803058513,471542,2014-08-21,5
498,8688,249323,2007-11-27,5
499,422893,249323,2007-09-07,4
500,296027,249323,2007-09-11,4
501,382071,249323,2007-10-14,4
502,329769,249323,2007-12-09,5
503,131674,249323,2007-12-13,5
504,43083,249323,2010-02-03,4
505,461834,249323,2011-07-22,5
506,58104,256888,2009-06-02,5
507,383346,256888,2012-05-13,4
508,31364,32818,2003-06-03,5
509,282842,32818,2007-03-27,5
510,490156,32818,2010-08-18,5
511,77146,245412,2008-05-09,5
512,730344,245412,2009-06-24,5
513,383346,213066,2007-05-26,5
514,257993,213066,2007-05-27,5
515,382999,213066,2007-06-01,5
516,452940,213066,2008-02-24,4
517,324390,213066,2008-07-31,5
518,1802971080,403126,2014-07-27,4
519,60992,42760,2003-02-10,5
520,89831,335462,2008-11-28,5
521,330545,279301,2008-01-22,2
522,339260,279301,2008-01-22,5
523,145626,279301,2008-01-27,4
524,324390,279301,2008-02-04,4
525,131674,279301,2008-06-09,4
526,225853,279301,2008-06-10,4
527,171790,279301,2008-06-14,4
528,68884,227943,2008-04-02,5
529,244082,227943,2008-05-28,5
530,158086,227943,2011-01-29,4
531,377581,221629,2007-10-16,5
532,340130,221629,2007-11-11,5
533,383346,334096,2009-01-30,5
534,169430,202112,2007-02-12,5
535,327115,202112,2008-06-11,4
536,1072593,345886,2018-01-01,5
537,383346,403067,2011-01-04,4
538,481092,270197,2008-01-13,5
539,383346,270197,2008-07-16,5
540,383853,270197,2008-09-21,4
541,143721,270197,2009-04-19,4
542,1179225,270197,2014-04-07,5
543,41578,89275,2005-02-24,5
544,89831,89275,2005-12-18,5
545,800543,276095,2008-08-01,5
546,284180,276095,2008-12-09,4
547,321445,276095,2008-12-11,5
548,876385,276095,2009-12-24,4
549,199848,276095,2012-12-22,4
550,222564,276095,2014-03-02,5
551,314579,171863,2007-07-05,5
552,324390,171863,2007-07-24,5
553,135470,425094,2010-05-21,4
554,60716,432142,2011-03-12,4
555,431813,179151,2007-07-30,4
556,171790,428485,2010-06-13,5
557,58104,428485,2010-06-14,4
558,803511,428485,2010-06-15,5
559,522099,428485,2010-06-16,5
560,383346,428485,2010-06-17,5
561,174096,428485,2010-06-27,5
562,198612,8817,2005-11-11,0
563,783992,8817,2008-03-07,1
564,527607,8817,2008-03-08,5
565,539686,8817,2008-03-17,4
566,143318,8817,2008-03-21,5
567,158086,307305,2012-06-09,5
568,422893,274733,2008-06-20,4
569,424680,274733,2008-06-22,5
570,37449,274733,2008-06-29,5
571,80353,274733,2008-06-30,5
572,220348,274733,2008-09-22,4
573,383346,289578,2011-03-13,5
574,383346,267594,2011-10-03,5
575,335737,332217,2008-10-23,4
576,290107,332217,2008-12-10,5
577,166642,332217,2008-12-28,5
578,465829,332217,2009-01-08,4
579,527607,332217,2009-08-04,5
580,1446971,332217,2012-03-30,5
581,305531,332217,2018-01-21,5
582,383346,285503,2008-02-17,5
583,222564,51265,2011-11-28,5
584,60992,34848,2003-06-09,5
585,59064,34848,2004-10-09,3
586,86318,34848,2006-07-09,5
587,285039,459189,2013-03-14,5
588,227978,459189,2014-11-10,5
589,9580,235224,2007-06-19,5
590,281399,235224,2007-06-27,5
591,222564,347800,2016-08-08,5
592,383346,223670,2007-06-20,5
593,68357,58495,2003-04-16,5
594,28346,58495,2004-07-07,5
595,125640,58495,2007-03-12,4
596,169969,58495,2007-03-15,5
597,383346,58495,2007-08-19,5
598,520150,58495,2007-08-23,4
599,88099,243093,2007-08-11,5
600,152393,243093,2007-08-13,5
601,209747,243093,2008-01-13,5
602,346860,243093,2008-02-18,0
603,118163,243093,2010-08-19,0
604,2001658900,243093,2017-08-05,5
605,162826,108294,2007-04-18,5
606,242007,108294,2007-06-03,5
607,60260,108294,2011-06-19,5
608,80079,108294,2012-04-17,5
609,538524,251237,2007-12-26,5
610,42309,61105,2003-05-05,5
611,104276,61105,2003-09-15,4
612,156653,61105,2005-07-23,4
613,28339,61105,2005-08-10,5
614,243391,61105,2006-07-22,3
615,431813,238626,2007-09-07,5
616,330545,238626,2008-06-15,5
617,461834,238626,2008-10-10,5
618,214008,231631,2009-03-13,5
619,324390,293254,2008-04-23,4
620,209747,293254,2008-08-21,4
621,96177,293254,2009-01-03,5
622,465829,293254,2009-01-25,5
623,474322,293254,2009-02-21,5
624,526666,310175,2009-07-31,5
625,383346,304018,2008-05-26,5
626,337668,304018,2008-05-26,5
627,344231,304018,2008-05-28,4
628,61660,304018,2008-06-02,5
629,324390,304018,2008-06-04,5
630,223979,304018,2008-06-05,5
631,207616,304018,2008-07-02,5
632,144490,304018,2008-07-08,5
633,169430,304018,2008-10-04,5
634,130663,276995,2008-06-14,5
635,341161,66914,2007-03-09,5
636,102058,66914,2007-03-12,5
637,17803,66914,2008-04-17,3
638,86512,66914,2008-05-09,5
639,43083,66914,2010-03-27,4
640,158086,433358,2013-10-20,5
641,96177,372141,2009-10-08,5
642,1366254,372141,2011-03-21,4
643,80353,82757,2004-04-16,5
644,124249,82757,2006-01-10,5
645,340130,82757,2007-06-12,5
646,80998,347477,2009-01-17,5
647,498271,347477,2009-05-09,5
648,89831,347477,2009-07-03,5
649,369558,347477,2009-07-10,5
650,227978,347477,2009-08-06,5
651,88099,347477,2009-08-15,5
652,1366254,347477,2009-10-20,3
653,1072593,347477,2010-04-28,5
654,560491,347477,2010-10-03,4
655,526666,183441,2012-06-05,5
656,768039,319729,2008-10-19,5
657,227978,319729,2009-03-04,4
658,461834,345038,2009-08-10,5
659,2002249602,416835,2018-08-16,5
660,226066,278918,2008-02-19,5
661,383346,278918,2008-12-06,4
662,61660,278918,2008-12-09,5
663,232669,98203,2006-10-17,0
664,271119,98203,2006-11-15,5
665,2001831580,416835,2018-09-02,5
666,2002269955,416835,2018-09-09,5
667,704950,159961,2009-05-14,5
668,10979,68906,2004-07-14,5
669,37305,68906,2003-08-21,5
670,68460,68906,2004-06-27,5
671,223854,68906,2007-05-31,4
672,145352,68906,2007-06-01,5
673,359936,68906,2008-06-16,5
674,786968,68906,2008-09-15,5
675,153648,68906,2011-07-04,4
676,222564,68906,2014-11-04,5
677,498271,474056,2012-06-03,4
678,136997,311742,2008-07-13,5
679,450004,311742,2011-05-26,5
680,128473,311742,2011-05-28,5
681,61660,311742,2011-06-05,4
682,431813,250667,2007-09-23,5
683,68960,250667,2007-10-21,4
684,17803,250667,2010-05-26,3
685,61660,423587,2010-06-15,4
686,296027,257713,2007-11-12,5
687,204024,257713,2008-01-12,4
688,720912,257713,2008-03-20,5
689,61660,257713,2008-04-03,5
690,383346,257713,2010-04-16,0
691,274666,456250,2011-06-08,4
692,447487,456250,2011-06-10,5
693,28346,180148,2008-10-30,3
694,107651,146320,2005-12-10,5
695,222878,146320,2005-12-28,5
696,6651,146320,2005-12-28,5
697,279234,146320,2005-12-31,5
698,215499,146320,2006-02-08,5
699,35714,146320,2006-03-15,5
700,279353,146320,2006-05-20,5
701,39301,146320,2006-07-07,5
702,333153,146320,2006-12-03,5
703,349138,146320,2006-12-09,5
704,185056,146320,2006-12-21,5
705,232031,146320,2007-01-12,4
706,55623,146320,2007-07-10,5
707,215851,146320,2007-12-06,5
708,64583,146320,2007-12-11,5
709,358796,146320,2007-12-31,5
710,401564,146320,2008-01-19,5
711,421511,146320,2008-02-28,5
712,60304,146320,2008-02-29,5
713,74281,146320,2008-06-16,4
714,1126368,146320,2009-10-12,5
715,330545,146320,2009-11-08,5
716,383346,146320,2009-11-30,5
717,1408290,146320,2010-12-22,5
718,755869,146320,2011-01-28,4
719,440324,146320,2012-10-02,5
720,378553,146320,2012-12-26,5
721,2000696829,146320,2018-09-26,5
722,57222,469723,2012-11-07,4
723,66708,361989,2009-03-22,5
724,227978,361989,2009-04-11,5
725,60716,361989,2009-07-14,5
726,424680,263116,2008-07-14,5
727,780172,263116,2008-10-14,5
728,17803,263116,2010-08-31,5
729,383346,369727,2009-05-16,5
730,227978,369727,2012-08-05,5
731,1925885,369727,2018-08-26,5
732,122108,67970,2004-01-30,1
733,683416,67970,2008-11-16,5
734,204024,369785,2009-07-01,4
735,593513,369785,2009-07-02,4
736,213909,369785,2009-07-03,3
737,130663,369785,2009-07-16,5
738,1925885,369785,2018-08-22,3
739,330545,344165,2008-12-24,5
740,130663,344165,2009-01-06,5
741,237123,135777,2005-09-23,5
742,104929,147236,2007-12-29,5
743,89831,127556,2008-04-07,5
744,179133,127556,2008-06-02,5
745,92006,360083,2009-04-04,5
746,94243,360083,2009-04-24,3
747,482933,360083,2009-05-01,4
748,1325498,360083,2009-07-15,4
749,22015,80075,2004-04-20,5
750,84196,80075,2004-10-03,5
751,127101,80075,2004-12-19,5
752,85303,80075,2005-02-13,5
753,168509,80075,2005-09-14,5
754,269201,80075,2005-12-01,5
755,130663,80075,2006-01-14,5
756,194608,80075,2006-01-19,5
757,55380,80075,2006-06-26,5
758,245863,80075,2006-07-09,0
759,229310,80075,2007-01-14,0
760,26451,80075,2008-02-10,5
761,122064,80075,2008-11-24,5
762,785443,80075,2008-12-17,5
763,37779,33556,2002-08-05,5
764,50969,391727,2012-02-19,5
765,1365025,391727,2012-03-10,5
766,2001412498,480284,2017-03-01,0
767,383346,459050,2011-10-24,5
768,124249,147745,2005-12-28,5
769,552613,147745,2008-11-05,5
770,701819,147745,2009-02-03,5
771,1072593,147745,2011-08-10,5
772,383346,147745,2012-03-19,5
773,464080,250196,2009-09-20,4
774,2095,285941,2008-02-19,5
775,772079,285941,2008-02-22,5
776,437991,343105,2009-05-30,5
777,869532,343105,2009-07-14,5
778,96177,362947,2009-04-13,5
779,383346,362947,2009-06-15,3
780,498271,362947,2010-06-05,5
781,135470,457386,2011-06-16,5
782,227978,457386,2011-06-24,5
783,496803,457386,2011-06-25,4
784,1072593,457386,2011-06-26,5
785,526666,457386,2012-02-20,5
786,405004,217083,2007-03-18,5
787,57400,223788,2008-07-27,5
788,28345,46186,2003-03-20,4
789,47559,46186,2004-03-17,5
790,93006,77180,2003-12-18,5
791,498271,292311,2008-06-10,4
792,89831,292311,2008-06-30,5
793,954555,292311,2008-11-27,4
794,131674,331885,2008-11-16,5
795,937552,331885,2009-12-12,4
796,482376,364348,2009-05-04,5
797,258285,244862,2007-08-30,4
798,89831,244862,2008-02-29,5
799,788037,119670,2009-12-19,5
800,498271,299068,2008-08-03,5
801,189280,299068,2008-10-07,5
802,206747,254567,2008-08-12,4
803,599450,330840,2008-11-06,5
804,383346,330840,2012-01-06,5
805,305531,260303,2007-12-01,4
806,876385,260303,2011-02-19,4
807,128473,431784,2011-06-01,5
808,135470,8827,2009-02-27,3
809,465829,8827,2009-03-02,5
810,43083,292860,2010-04-12,4
811,2747461,385819,2013-03-21,5
812,130663,236490,2009-07-05,5
813,876385,442883,2011-12-19,5
814,1072593,442883,2011-12-24,5
815,2581708,442883,2012-12-22,1
