,item,score,user,rank,Algorithm
576,280658,13.0,130663,27,popular
577,176671,12.0,130663,28,popular
578,212632,12.0,130663,29,popular
579,250163,12.0,130663,30,popular
580,250822,12.0,130663,31,popular
581,272173,12.0,130663,32,popular
582,277907,12.0,130663,33,popular
583,307684,12.0,130663,34,popular
584,423600,12.0,130663,35,popular
585,15420,11.0,130663,36,popular
586,18458,11.0,130663,37,popular
587,29570,11.0,130663,38,popular
588,116195,11.0,130663,39,popular
589,155047,11.0,130663,40,popular
590,163484,11.0,130663,41,popular
591,163971,11.0,130663,42,popular
592,178002,11.0,130663,43,popular
593,213195,11.0,130663,44,popular
594,217536,11.0,130663,45,popular
595,228520,11.0,130663,46,popular
596,250284,11.0,130663,47,popular
597,250673,11.0,130663,48,popular
598,284323,11.0,130663,49,popular
599,370031,11.0,130663,50,popular
600,66947,23.0,461834,1,popular
601,172700,20.0,461834,2,popular
602,60506,19.0,461834,3,popular
603,199299,18.0,461834,4,popular
604,232918,18.0,461834,5,popular
605,110156,17.0,461834,6,popular
606,167763,16.0,461834,7,popular
607,269750,16.0,461834,8,popular
608,64915,15.0,461834,9,popular
609,264072,15.0,461834,10,popular
610,59148,14.0,461834,11,popular
611,62275,14.0,461834,12,popular
612,162998,14.0,461834,13,popular
613,166284,14.0,461834,14,popular
614,166675,13.0,461834,15,popular
615,171867,13.0,461834,16,popular
616,173567,13.0,461834,17,popular
617,178156,13.0,461834,18,popular
618,213057,13.0,461834,19,popular
619,215229,13.0,461834,20,popular
620,229164,13.0,461834,21,popular
621,240135,13.0,461834,22,popular
622,249052,13.0,461834,23,popular
623,280658,13.0,461834,24,popular
624,123820,12.0,461834,25,popular
625,176671,12.0,461834,26,popular
626,184631,12.0,461834,27,popular
627,250163,12.0,461834,28,popular
628,250822,12.0,461834,29,popular
629,272173,12.0,461834,30,popular
630,277907,12.0,461834,31,popular
631,307684,12.0,461834,32,popular
632,423600,12.0,461834,33,popular
633,15420,11.0,461834,34,popular
634,18458,11.0,461834,35,popular
635,29570,11.0,461834,36,popular
636,116195,11.0,461834,37,popular
637,155047,11.0,461834,38,popular
638,163484,11.0,461834,39,popular
639,163971,11.0,461834,40,popular
640,213195,11.0,461834,41,popular
641,217536,11.0,461834,42,popular
642,228520,11.0,461834,43,popular
643,250284,11.0,461834,44,popular
644,250673,11.0,461834,45,popular
645,284323,11.0,461834,46,popular
646,370031,11.0,461834,47,popular
647,88364,10.0,461834,48,popular
648,98221,10.0,461834,49,popular
649,171865,10.0,461834,50,popular
650,66947,23.0,17803,1,popular
651,176535,23.0,17803,2,popular
652,172700,20.0,17803,3,popular
653,60506,19.0,17803,4,popular
654,232918,18.0,17803,5,popular
655,167763,16.0,17803,6,popular
656,269750,16.0,17803,7,popular
657,64915,15.0,17803,8,popular
658,264072,15.0,17803,9,popular
659,59043,14.0,17803,10,popular
660,59148,14.0,17803,11,popular
661,62275,14.0,17803,12,popular
662,166284,14.0,17803,13,popular
663,166675,13.0,17803,14,popular
664,171867,13.0,17803,15,popular
665,178156,13.0,17803,16,popular
666,213057,13.0,17803,17,popular
667,215229,13.0,17803,18,popular
668,240135,13.0,17803,19,popular
669,249052,13.0,17803,20,popular
670,123820,12.0,17803,21,popular
671,184631,12.0,17803,22,popular
672,212632,12.0,17803,23,popular
673,277907,12.0,17803,24,popular
674,307684,12.0,17803,25,popular
675,423600,12.0,17803,26,popular
676,15420,11.0,17803,27,popular
677,18458,11.0,17803,28,popular
678,29570,11.0,17803,29,popular
679,116195,11.0,17803,30,popular
680,163484,11.0,17803,31,popular
681,163971,11.0,17803,32,popular
682,213195,11.0,17803,33,popular
683,217536,11.0,17803,34,popular
684,228520,11.0,17803,35,popular
685,250284,11.0,17803,36,popular
686,250673,11.0,17803,37,popular
687,284323,11.0,17803,38,popular
688,370031,11.0,17803,39,popular
689,88364,10.0,17803,40,popular
690,98221,10.0,17803,41,popular
691,171865,10.0,17803,42,popular
692,174274,10.0,17803,43,popular
693,197977,10.0,17803,44,popular
694,211811,10.0,17803,45,popular
695,216034,10.0,17803,46,popular
696,220304,10.0,17803,47,popular
697,243106,10.0,17803,48,popular
698,265892,10.0,17803,49,popular
699,284368,10.0,17803,50,popular
700,66947,23.0,498271,1,popular
701,170262,22.0,498271,2,popular
702,172700,20.0,498271,3,popular
703,60506,19.0,498271,4,popular
704,199299,18.0,498271,5,popular
705,110156,17.0,498271,6,popular
706,167763,16.0,498271,7,popular
707,284512,16.0,498271,8,popular
708,264072,15.0,498271,9,popular
709,59043,14.0,498271,10,popular
710,59148,14.0,498271,11,popular
711,62275,14.0,498271,12,popular
712,162998,14.0,498271,13,popular
713,166284,14.0,498271,14,popular
714,250764,14.0,498271,15,popular
715,166675,13.0,498271,16,popular
716,171867,13.0,498271,17,popular
717,173567,13.0,498271,18,popular
718,178156,13.0,498271,19,popular
719,213057,13.0,498271,20,popular
720,215229,13.0,498271,21,popular
721,229164,13.0,498271,22,popular
722,240135,13.0,498271,23,popular
723,280658,13.0,498271,24,popular
724,123820,12.0,498271,25,popular
725,176671,12.0,498271,26,popular
726,184631,12.0,498271,27,popular
727,212632,12.0,498271,28,popular
728,250163,12.0,498271,29,popular
729,250822,12.0,498271,30,popular
730,277907,12.0,498271,31,popular
731,423600,12.0,498271,32,popular
732,15420,11.0,498271,33,popular
733,18458,11.0,498271,34,popular
734,29570,11.0,498271,35,popular
735,116195,11.0,498271,36,popular
736,155047,11.0,498271,37,popular
737,163484,11.0,498271,38,popular
738,163971,11.0,498271,39,popular
739,178002,11.0,498271,40,popular
740,213195,11.0,498271,41,popular
741,217536,11.0,498271,42,popular
742,228520,11.0,498271,43,popular
743,250284,11.0,498271,44,popular
744,250673,11.0,498271,45,popular
745,284323,11.0,498271,46,popular
746,370031,11.0,498271,47,popular
747,88364,10.0,498271,48,popular
748,98221,10.0,498271,49,popular
749,171865,10.0,498271,50,popular
750,66947,23.0,296027,1,popular
751,176535,23.0,296027,2,popular
752,172700,20.0,296027,3,popular
753,60506,19.0,296027,4,popular
754,110156,17.0,296027,5,popular
755,167763,16.0,296027,6,popular
756,269750,16.0,296027,7,popular
757,264072,15.0,296027,8,popular
758,59043,14.0,296027,9,popular
759,59148,14.0,296027,10,popular
760,62275,14.0,296027,11,popular
761,162998,14.0,296027,12,popular
762,166284,14.0,296027,13,popular
763,250764,14.0,296027,14,popular
764,166675,13.0,296027,15,popular
765,173567,13.0,296027,16,popular
766,178156,13.0,296027,17,popular
767,215229,13.0,296027,18,popular
768,229164,13.0,296027,19,popular
769,249052,13.0,296027,20,popular
770,280658,13.0,296027,21,popular
771,123820,12.0,296027,22,popular
772,176671,12.0,296027,23,popular
773,184631,12.0,296027,24,popular
774,212632,12.0,296027,25,popular
775,272173,12.0,296027,26,popular
776,307684,12.0,296027,27,popular
777,423600,12.0,296027,28,popular
778,15420,11.0,296027,29,popular
779,18458,11.0,296027,30,popular
780,29570,11.0,296027,31,popular
781,116195,11.0,296027,32,popular
782,155047,11.0,296027,33,popular
783,163484,11.0,296027,34,popular
784,163971,11.0,296027,35,popular
785,178002,11.0,296027,36,popular
786,213195,11.0,296027,37,popular
787,250284,11.0,296027,38,popular
788,250673,11.0,296027,39,popular
789,284323,11.0,296027,40,popular
790,370031,11.0,296027,41,popular
791,88364,10.0,296027,42,popular
792,98221,10.0,296027,43,popular
793,171865,10.0,296027,44,popular
794,174274,10.0,296027,45,popular
795,211811,10.0,296027,46,popular
796,214514,10.0,296027,47,popular
797,216034,10.0,296027,48,popular
798,220304,10.0,296027,49,popular
799,231025,10.0,296027,50,popular
800,176535,23.0,35526,1,popular
801,170262,22.0,35526,2,popular
802,172700,20.0,35526,3,popular
803,199299,18.0,35526,4,popular
804,232918,18.0,35526,5,popular
805,167763,16.0,35526,6,popular
806,269750,16.0,35526,7,popular
807,284512,16.0,35526,8,popular
808,64915,15.0,35526,9,popular
809,264072,15.0,35526,10,popular
810,59043,14.0,35526,11,popular
811,59148,14.0,35526,12,popular
812,62275,14.0,35526,13,popular
813,162998,14.0,35526,14,popular
814,166284,14.0,35526,15,popular
815,250764,14.0,35526,16,popular
816,166675,13.0,35526,17,popular
817,171867,13.0,35526,18,popular
818,173567,13.0,35526,19,popular
819,178156,13.0,35526,20,popular
820,213057,13.0,35526,21,popular
